,197RDB0069,197RDB0219,197RDB0263,197RDB0162,197RDB0006,197RDB0192,197RDB0268,197RDB0195,197RDBCJ0047,197RDB0067,197RDB0012,197RDB0221,197RDB0269,197RDB0157,197RDBCJ0052,197RDB0190,197RDB0003,197RDB0291,197RDB0293,197RDB0160,197RDB0212,197RDB0005,197RDB0107,197RDB0004,197RDBCJ0056,197RDB0253,197RDBCJ0057,197RDB0281,197RDB0207,197RDB0010,197RDBCJ0065,197RDBCJ0053,197RDB0289,197RDB0077,197RDB0009,197RDB0011,197RDBCJ0061,197RDB0163,197RDB0208,197RDB0249,197RDBCJ0058,197RDB0247,197RDB0158,197RDB0194,197RDB0318,197RDB0184,197RDB0280,197RDB0170,197RDB0432,197RDB0264,197RDB0211,197RDB0073,197RDB0002,197RDB0333,197RDB0070,197RDB0169,197RDB0419,197RDB0299,197RDB0271,197RDB0183,197RDB0363,197RDB0414,197RDB0081,197RDB0365,197RDB0336,197RDB0254,197RDB0119,197RDB0242
C14orf156,11.5282002,10.95929355,11.4835338,11.0701341,11.05371238,10.62658914,10.91129502,10.71094288,10.99215981,10.97138191,11.31084238,11.09366975,11.06790947,11.36700645,10.8942404,11.30624622,11.01652976,11.07392752,10.44430433,11.69182773,10.83864285,11.07509313,10.20869295,11.02779108,10.73540456,11.62265609,11.35693847,10.94321559,11.41571175,10.97950192,10.98902807,10.71990587,11.38702014,10.69015963,11.09553876,11.42838443,10.82763924,11.13952276,10.50072247,10.66779958,11.37826118,10.788478,10.90195011,11.53011707,11.5213898,11.38473438,11.47809577,11.37644532,11.32571952,11.47453194,10.49167154,10.5158834,11.05041955,10.69279102,11.420996,11.44268422,11.89119247,11.0453906,10.93639533,11.01434382,10.64091895,11.02900896,10.69619731,11.43807106,11.03919321,10.77033383,10.83555921,10.75322794
CAMTA2,6.850169022,7.028449444,6.830935626,6.943357676,6.830048647,6.614528602,6.751363555,7.000560702,6.874718748,6.539062414,6.969557973,6.968782029,6.865710072,6.597837253,6.968342714,7.036288441,6.667405267,7.058224337,6.587285723,7.217433256,6.855295077,7.196567725,6.155485443,6.783107711,6.526008213,6.631967697,7.199386024,6.978094851,6.979874079,6.836289006,6.777249002,6.324937716,7.410775892,7.076447728,7.025952795,6.618740414,6.810242837,7.285590164,6.238189936,6.529047612,6.843749881,6.622634513,6.937646398,6.806582874,6.765005382,6.445855525,7.014347153,7.174380464,6.445079946,7.114896279,6.724836425,6.58439598,7.150528127,6.589743257,6.882637782,6.594371582,6.91022703,6.646589237,6.69750059,6.720253841,6.676351105,6.72786158,6.909019051,6.5360572,7.144003974,7.061343181,7.00659797,6.854073725
CCT3,11.98529851,11.33749229,11.36431345,11.31132499,11.10334186,11.59447736,11.37026978,10.93471694,11.0639793,10.94859302,11.41196675,11.1512707,11.31298529,11.32717472,10.72316682,10.80421294,11.31378096,11.56728221,11.31053673,11.73250101,10.56528625,10.84207757,10.65127428,11.15873242,11.30573911,11.53440205,11.53104482,10.77791789,11.6161885,11.3166532,11.35357305,11.37365608,11.06792218,11.16375783,11.12911351,11.63905775,11.07339117,11.20037178,11.1481276,11.35313471,11.06859052,11.29682182,11.25769487,10.94331383,11.7362427,11.41544702,11.13716262,11.26070154,11.62326014,11.44749824,10.94170641,10.89077871,11.18408605,11.58705242,11.21956292,11.39558737,11.75006814,10.43877469,11.47808315,10.77435474,11.14810477,11.25847683,10.69002601,11.35545442,10.86446184,10.55153515,10.6041609,10.50569808
CCT7,11.05285287,10.6971531,11.28724822,11.0359845,10.64415293,11.07169274,10.97896921,10.6086355,10.76904516,10.90839046,11.17325424,10.44217905,10.68575298,11.27233832,10.8702454,10.65152551,11.23995717,10.92820042,10.98967364,11.22394784,10.7882515,10.46275526,10.84886173,10.69536143,10.97306545,11.08515309,11.30727746,10.71265213,10.64471354,10.87590534,10.86498999,11.01293122,10.4722925,10.86982491,10.66110409,11.2759153,10.92416976,10.86320236,10.87021753,11.01431746,10.8722791,10.89218839,10.79478419,10.70606321,11.3265071,10.8660129,10.86495803,11.05710286,10.93652763,11.21436554,10.44928944,10.82700007,10.86291992,11.03633502,10.35578346,11.24612416,11.81713217,10.41528788,11.12306925,10.91584528,10.78861193,10.97676064,10.0784036,11.44900704,10.6116412,10.3533201,10.37647921,10.29011103
CD38,6.390999222,8.016326112,6.647447043,5.955636116,8.235989314,5.974783538,6.029620994,7.937107298,7.479255834,6.330835815,6.66836477,7.095435185,6.666776334,6.577303853,5.562694631,7.704184116,6.446791356,7.233525187,6.490877544,6.862139593,6.703682149,6.955250409,6.09284597,7.300148702,6.225835068,6.542058794,7.046038909,6.090186519,6.743311769,6.187685762,8.189326412,6.76089529,7.52279877,6.250743094,6.205685927,7.306454978,6.691595587,6.184484437,6.07553577,6.217846039,6.889585035,7.530461349,7.43301697,7.251215109,7.209715185,7.393673144,5.780715553,6.393957695,6.019378729,6.949261996,6.245675196,5.749712958,7.564734533,6.000989912,8.070499366,6.712137557,5.95787962,6.240842331,6.944116033,6.295142918,7.760901402,7.23083742,7.149820503,7.315719705,7.175226874,7.327696219,6.863424192,7.687133078
CHI3L2,5.531352498,5.179271595,6.26840438,5.796752662,5.685186105,4.804817821,5.332538569,5.953355138,5.73330055,5.447146241,5.583788418,5.839299193,5.274104295,5.920273374,5.627651337,6.054639851,5.386445501,5.724692794,5.416566968,5.279483843,5.62892291,5.693034285,5.280442153,5.52405877,5.422537695,5.296836805,5.599268021,6.469357672,5.448236491,5.455942729,5.485255493,5.593194694,5.373710807,5.524700942,5.595993517,5.489493528,5.4786337,5.216399394,5.536240323,5.007104777,5.46231552,5.643724047,6.087945035,6.350633718,5.658654336,6.180218659,5.888977345,5.389329579,5.333636101,6.135069055,5.481098222,4.92600205,5.90010389,5.58081555,5.794659486,5.757532864,5.324665683,5.137848331,5.361559203,5.689457311,5.798623084,6.081508686,7.732734311,5.309743488,5.67624822,5.406853393,5.847681072,6.249047812
CKS2,11.33537697,10.8307927,11.67109733,11.53549278,10.48561346,11.2495488,10.79174958,10.53139684,11.44863441,11.02342597,10.61325115,11.0341338,11.33979708,11.47332778,10.36385268,11.26037287,10.67676496,11.13346062,10.73530281,11.88631966,10.58019161,9.377321909,11.10589947,10.27772865,11.16177473,11.52824085,11.39991073,10.620362,9.857373988,10.81546065,11.49195914,10.62972403,9.967069297,10.29915692,9.724237578,11.57416062,10.63272782,11.22071264,11.14286924,11.31573279,11.22407035,10.94265478,11.10965685,11.12729255,12.14621015,11.6190256,10.95944689,11.33450024,11.17342844,11.50325681,9.580728653,9.640216481,10.13982655,10.3199509,10.53947652,10.97545842,12.01234025,10.71200523,11.34595703,11.05599737,11.11714657,11.45387652,9.464685972,11.08365173,9.779602009,9.695246481,9.319564144,9.837492126
CLCA4,6.052050422,6.360192019,6.751295949,9.307143962,4.623090578,5.523667143,4.032855073,5.673603836,11.48851459,6.910463895,4.769372472,5.577916646,4.320847351,5.940842884,4.305740917,12.26193501,4.188020163,11.59170689,5.404273209,4.876382362,6.811455402,12.01244098,4.817193808,4.662973279,4.510199621,8.489277264,10.90239537,2.378742224,10.92900794,6.121967772,5.217411751,8.02316505,9.683227535,6.755532586,8.315715726,7.737100123,11.64048235,7.72909207,5.888353702,4.324397815,6.886613129,7.125742636,8.877966427,5.790314035,3.368140833,8.493414499,7.868000789,5.591410225,5.50924304,7.438015896,6.359637439,11.80202314,8.792966572,7.194074089,8.25924509,8.708161067,3.128421093,8.857055388,5.089554407,6.18726356,3.80313748,3.894373891,13.8288595,7.72746807,10.48118343,10.5201915,12.53610959,12.69160532
CLK2,9.393838666,9.124012404,9.145582445,8.777022892,8.549132644,9.524675505,8.891962415,8.828575192,8.532510935,8.886560026,8.990125619,8.603881871,8.47187006,8.565548538,8.898537376,8.93645782,8.689514704,8.782032774,8.400819005,9.015844997,8.770483719,8.638992329,8.323003733,8.809736067,8.601556357,9.143992619,8.744091827,9.191254667,9.160610547,8.697826662,9.163406532,8.400120982,8.408016029,8.53535513,8.664151095,8.773938317,9.099529944,8.980837988,8.621369441,8.561360523,8.38240119,8.912833571,8.686109583,8.914256483,8.64675868,8.377019502,8.94594449,9.146736388,9.189513862,8.931583935,9.060804861,8.593413444,9.124882729,9.28099698,8.88508474,8.66324337,9.000768615,9.181024995,8.706824037,8.683680082,8.654088884,8.206707527,8.901090774,9.146975001,8.773461734,8.766432655,8.901063451,8.516301461
COPS5,10.03575914,9.989208799,10.28508371,10.04614023,9.964771741,10.50587318,10.9037164,10.01474222,10.13968867,10.06310729,9.525478151,10.77548091,9.996436087,10.66878831,10.20077466,10.10583407,10.32171832,10.18517798,10.20968335,10.13709137,10.18264025,9.764734357,10.15068836,10.10310508,10.79539111,10.14890912,10.01453529,10.32410577,10.48392513,10.26581333,9.855286679,10.2180008,10.18360815,10.43065246,10.14112626,9.939305628,10.12801505,10.29415859,10.15447246,9.972801754,10.01150397,10.17250322,10.08488478,10.17133451,10.1741267,10.11448978,10.03772457,10.25365632,10.79394305,10.15787575,9.997809845,9.938286344,10.07784498,10.4617001,10.12936286,10.51292159,10.26854419,9.915301456,10.82169515,10.549046,9.873874292,10.21896542,9.908518808,10.00144387,10.28560476,10.02188742,9.750075722,9.961109984
